index,probability,posterior,mutant,salt,hmgb1,n_muts
0,1e-05,9.283199891339392e-47,12CodC6A,Mg,80,1.0
1,0.005035025125628141,9.290163238435853e-20,12CodC6A,Mg,80,1.0
2,0.010060050251256282,8.999491009830857e-17,12CodC6A,Mg,80,1.0
3,0.015085075376884423,4.940832155379756e-15,12CodC6A,Mg,80,1.0
4,0.020110100502512565,8.365169181416458e-14,12CodC6A,Mg,80,1.0
5,0.025135125628140707,7.43099883693993e-13,12CodC6A,Mg,80,1.0
6,0.030160150753768846,4.38906578785319e-12,12CodC6A,Mg,80,1.0
7,0.03518517587939699,1.9558239519494973e-11,12CodC6A,Mg,80,1.0
8,0.040210201005025134,7.090623040864848e-11,12CodC6A,Mg,80,1.0
9,0.045235226130653276,2.1956945876497845e-10,12CodC6A,Mg,80,1.0
10,0.05026025125628142,6.003781433572045e-10,12CodC6A,Mg,80,1.0
11,0.05528527638190956,1.4843550532338478e-09,12CodC6A,Mg,80,1.0
12,0.060310301507537696,3.376851617997314e-09,12CodC6A,Mg,80,1.0
13,0.06533532663316584,7.1634116757393765e-09,12CodC6A,Mg,80,1.0
14,0.07036035175879397,1.4316885374860674e-08,12CodC6A,Mg,80,1.0
15,0.07538537688442212,2.718032916300428e-08,12CodC6A,Mg,80,1.0
16,0.08041040201005026,4.9340730273582356e-08,12CodC6A,Mg,80,1.0
17,0.0854354271356784,8.610851657497887e-08,12CodC6A,Mg,80,1.0
18,0.09046045226130654,1.451171104440386e-07,12CodC6A,Mg,80,1.0
19,0.09548547738693468,2.3705543854470717e-07,12CodC6A,Mg,80,1.0
20,0.10051050251256283,3.765443221672438e-07,12CodC6A,Mg,80,1.0
21,0.10553552763819096,5.831650718865612e-07,12CodC6A,Mg,80,1.0
22,0.11056055276381911,8.826454431523816e-07,12CodC6A,Mg,80,1.0
23,0.11558557788944725,1.3082044416748326e-06,12CodC6A,Mg,80,1.0
24,0.12061060301507538,1.9020533802570921e-06,12CodC6A,Mg,80,1.0
25,0.12563562814070353,2.7170461757636056e-06,12CodC6A,Mg,80,1.0
26,0.1306606532663317,3.8184672394691235e-06,12CodC6A,Mg,80,1.0
27,0.13568567839195983,5.285940565911154e-06,12CodC6A,Mg,80,1.0
28,0.14071070351758797,7.215438877938927e-06,12CodC6A,Mg,80,1.0
29,0.1457357286432161,9.721367053009209e-06,12CodC6A,Mg,80,1.0
30,0.15076075376884426,1.2938689650071953e-05,12CodC6A,Mg,80,1.0
31,0.1557857788944724,1.7025068285344407e-05,12CodC6A,Mg,80,1.0
32,0.16081080402010053,2.2162970969983814e-05,12CodC6A,Mg,80,1.0
33,0.16583582914572867,2.8561712415606603e-05,12CodC6A,Mg,80,1.0
34,0.1708608542713568,3.6459381816949623e-05,12CodC6A,Mg,80,1.0
35,0.17588587939698497,4.612461280518812e-05,12CodC6A,Mg,80,1.0
36,0.1809109045226131,5.785814918816404e-05,12CodC6A,Mg,80,1.0
37,0.18593592964824124,7.199415979901014e-05,12CodC6A,Mg,80,1.0
38,0.19096095477386937,8.890125629216194e-05,12CodC6A,Mg,80,1.0
39,0.19598597989949754,0.00010898316907080179,12CodC6A,Mg,80,1.0
40,0.20101100502512567,0.00013267903870313685,12CodC6A,Mg,80,1.0
41,0.2060360301507538,0.00016046328317305376,12CodC6A,Mg,80,1.0
42,0.21106105527638194,0.0001928450050861727,12CodC6A,Mg,80,1.0
43,0.21608608040201008,0.00023036690747462674,12CodC6A,Mg,80,1.0
44,0.22111110552763824,0.00027360369205989916,12CodC6A,Mg,80,1.0
45,0.22613613065326638,0.0003231599196785358,12CodC6A,Mg,80,1.0
46,0.2311611557788945,0.00037966731897576055,12CodC6A,Mg,80,1.0
47,0.23618618090452265,0.00044378153634338683,12CodC6A,Mg,80,1.0
48,0.24121120603015078,0.0005161783273297051,12CodC6A,Mg,80,1.0
49,0.24623623115577895,0.0005975491972825031,12CodC6A,Mg,80,1.0
50,0.25126125628140705,0.0006885965067001165,12CodC6A,Mg,80,1.0
51,0.25628628140703524,0.000790028064553353,12CodC6A,Mg,80,1.0
52,0.2613113065326634,0.0009025512405964377,12CodC6A,Mg,80,1.0
53,0.2663363316582915,0.0010268666352998188,12CodC6A,Mg,80,1.0
54,0.27136135678391965,0.0011636613534054924,12CodC6A,Mg,80,1.0
55,0.2763863819095478,0.0013136019341226227,12CodC6A,Mg,80,1.0
56,0.2814114070351759,0.0014773269975478312,12CodC6A,Mg,80,1.0
57,0.28643643216080406,0.0016554396729159951,12CodC6A,Mg,80,1.0
58,0.2914614572864322,0.0018484998796755275,12CodC6A,Mg,80,1.0
59,0.2964864824120603,0.0020570165370565156,12CodC6A,Mg,80,1.0
60,0.3015115075376885,0.002281439781688381,12CodC6A,Mg,80,1.0
61,0.30653653266331665,0.0025221532758636475,12CodC6A,Mg,80,1.0
62,0.3115615577889448,0.002779466691182638,12CodC6A,Mg,80,1.0
